Trading Code,Company Name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change(%),52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
1JANATAMF,First Janata Bank Mutual Fund,6.20,6.20,3:45 PM,6.20 - 6.30,0,1.75,0.00%,5.70 - 10.00,6.20,"279,669.00",6.20,95,6.20,"1,797.525",-,,"2,899.23",Mutual Fund,10.0,1,"289,923,349",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9513138,info@racebd.com,http://www.racebd.com,,,,
1STPRIMFMF,Prime Finance First Mutual Fund,17.20,17.10,3:45 PM,17.00 - 17.30,-0.1,2.87,-0.58%,15.60 - 24.40,17.30,"167,619.00",17.30,79,17.30,346.000,-,,200.00,Mutual Fund,10.0,1,"20,000,000",Mutual Funds,"Green City Edge (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
AAMRANET,aamra networks limited,39.30,39.30,3:45 PM,38.00 - 39.60,0.6,68.20,1.55%,34.70 - 64.50,38.00,"1,772,631.00",38.70,"1,128",38.70,"2,284.649","1,000.00","02 Oct, 2017",590.35,Equity,10.0,1,"59,034,865",IT Sector,"Safura Tower (9th Floor)rn20 Kemal Ataturk AvenuernBanani, Dhaka-1213","8802-8832446, 8802-941100",,aamranet.sharedept@aamra.com.bd,http://www.aamra.com.bd,Syed Moniruzzaman,01713477405,8802-8832446 Ext-140,syed.moniruzzaman@aamra.com.bd
AAMRATECH,aamra technologies limited,31.10,31.10,3:45 PM,30.50 - 31.70,0,13.24,0.00%,26.40 - 46.60,31.10,"427,924.00",31.10,405,31.10,"1,898.492","1,000.00",,610.45,Equity,10.0,1,"61,044,757",IT Sector,"Safura Tower (9th Floor)rn20 Kemal Ataturk AvenuernBanani, Dhaka-1213","8802-9822146, 8802-8832446,8802-8832446",+88 02 9820605,aamratech.sharedept@aamra.com.bd,http://www.aamra.com.bd,Syed Moniruzzaman,01713477405,8802-8832446   Ext-140,syed.moniruzzaman@aamra.com.bd
ABB1STMF,AB Bank 1st Mutual fund,5.30,5.30,3:45 PM,5.20 - 5.30,0,1.27,0.00%,5.10 - 8.10,5.30,"239,974.00",5.30,46,5.30,"1,267.179",-,"29 Jan, 2012","2,390.90",Mutual Fund,10.0,1,"239,090,396",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
ABBANK,AB Bank Limited,10.00,10.00,3:45 PM,9.90 - 10.10,0.1,2.21,1.01%,9.80 - 17.30,10.00,"221,135.00",9.90,186,9.90,"8,523.047","15,000.00",,"8,609.14",Equity,10.0,1,"860,913,831",Bank,"The Skymark, 18 Gulshan Avenue, Gulshan-1, Dhaka-1212","+880-2-9560312, Ext. 271",+880-2-9555098,"info@abbl.com, cs@abbl.com",http://www.abbl.com,Md. Jasim Uddin ACS,+8801819145156,+880 9678555678,"juddin@abbl.com, cs@abbl.com"
ACFL,Aman Cotton Fibrous Limited,26.70,26.70,3:45 PM,26.30 - 27.20,-0.1,4.96,-0.37%,24.70 - 50.50,27.20,"186,346.00",26.80,221,26.80,"2,702.333","2,000.00","06 Aug, 2018","1,008.33",Equity,10.0,1,"100,833,333",Textile,"2, Ishakha Avenue, Sector # 6, UttararnDhaka-1230","+880-2-48961, 09612613000, +880 62552740",880-2-58950510,s.islam@amangroupbd.com,https://www.amancotton.com,"Shariful Islam, CMA-Inter",01728-272596,,s.islam@amangroupbd.com
ACI,ACI  Limited,276.70,276.40,3:45 PM,272.00 - 277.50,2.7,8.60,0.99%,264.70 - 351.20,274.00,"31,392.00",274.00,348,274.00,"19,886.040","1,500.00",,725.77,Equity,10.0,1,"72,576,788",Pharmaceuticals & Chemicals,"ACI Centre, 245 Tejgaon I/A, Dhaka - 1208","8878603,  9556254",8878619.,info@aci-bd.com,http://www.aci-bd.com,Md. Mostafizur Rahman,+880 1708467600,8878603 Ext. 100,mostafizur.rahman@aci-bd.com
ACIFORMULA,ACI Formulations Limited,158.20,158.20,3:45 PM,157.20 - 162.90,-0.8,39.40,-0.50%,146.30 - 225.90,160.10,"246,815.00",159.00,803,159.00,"7,512.750",500.00,,472.50,Equity,10.0,1,"47,250,000",Pharmaceuticals & Chemicals,"ACI Centre, 245 Tejgaon, Industrial Area, Dhaka-1208","8802 8878603, 9556254",8878619.,"info@aci-bd.com,",http://www.aci-bd.com/acifl/,Mohammad Mostafizur Rahman,+880 1708467600,8878603 Ext. 100,mostafizur.rahman@aci-bd.com
ACMELAB,The ACME Laboratories Limited,86.20,86.20,3:45 PM,86.10 - 87.40,-0.7,15.58,-0.81%,74.60 - 117.70,87.30,"179,570.00",86.90,302,86.90,"18,388.188","5,000.00","07 Jun, 2016","2,116.02",Equity,10.0,1,"211,601,700",Pharmaceuticals & Chemicals,"Court de la ACME, 1/4 Kallayanpur Mirpur Road, Dhaka-1207",+88 02 9004194-6,+88 02 9039399,cs@acmeglobal.com,http://www.acmeglobal.com,"Md. Arshadul Kabir, FCA","+88 01777 765233, 01937404568",+88 02 8091051-3 Ext-197,cs@acmeglobal.com
ACMEPL,ACME Pesticides Limited,35.70,35.70,3:45 PM,35.30 - 36.90,-0.3,12.80,-0.83%,11.00 - 40.20,36.00,"355,797.00",36.00,529,36.00,"4,860.000","1,500.00","14 Nov, 2021","1,350.00",Equity,10.0,1,"135,000,000",Pharmaceuticals & Chemicals,"Doyarampur, Tarakanda, Fulpur,  Mymensingh, Bangladesh",+880-02-48118123,+880-2- 48118124,info@acmepesticides.com,http://www.acmepesticides.com,Md. Ariful Alam,+8801985772222,,acs2243@gmail.com
